word	onset	duration
La	0.7	0.25
sixième	1.0	0.25
planète	1.3	0.25
était	1.6	0.25
une	1.9000000000000001	0.25
planète	2.2	0.25
dix	2.5	0.25
fois	2.8000000000000007	0.25
plus	3.1000000000000005	0.25
vaste.	3.4000000000000004	0.25
Elle	4.2	0.25
était	4.500000000000001	0.25
habitée	4.800000000000001	0.25
par	5.1000000000000005	0.25
un	5.400000000000001	0.25
vieux	5.700000000000001	0.25
monsieur	6.000000000000001	0.25
qui	6.300000000000001	0.25
écrivait	6.6000000000000005	0.25
d'énormes	6.900000000000001	0.25
livres.	7.200000000000001	0.25
«tiens!	8.0	0.25
Voilà	8.8	0.25
un	9.100000000000001	0.25
explorateur!»	9.400000000000002	0.25
S'écria-t-il,	10.200000000000001	0.25
quand	10.5	0.25
il	10.8	0.25
aperçut	11.100000000000001	0.25
le	11.4	0.25
petit	11.700000000000001	0.25
prince.	12.0	0.25
Le	12.8	0.25
petit	13.100000000000001	0.25
prince	13.4	0.25
s'assit	13.700000000000001	0.25
sur	14.0	0.25
la	14.3	0.25
table	14.600000000000001	0.25
et	14.9	0.25
souffla	15.200000000000001	0.25
un	15.500000000000002	0.25
peu.	15.8	0.25
Il	16.6	0.25
avait	16.900000000000002	0.25
déjà	17.200000000000003	0.25
tant	17.5	0.25
voyagé!	17.8	0.25
«d'où	18.6	0.25
viens-tu?	18.900000000000002	0.25
Lui	19.700000000000003	0.25
dit	20.000000000000004	0.25
le	20.3	0.25
vieux	20.6	0.25
monsieur.	20.900000000000002	0.25
Quel	21.700000000000003	0.25
est	22.000000000000004	0.25
ce	22.3	0.25
gros	22.6	0.25
livre?	22.900000000000002	0.25
Dit	23.700000000000003	0.25
le	24.000000000000004	0.25
petit	24.3	0.25
prince.	24.6	0.25
Que	25.400000000000002	0.25
faites-vous	25.700000000000003	0.25
ici?	26.000000000000004	0.25
Je	26.8	0.25
suis	27.1	0.25
géographe,	27.400000000000002	0.25
dit	27.700000000000003	0.25
le	28.000000000000004	0.25
vieux	28.3	0.25
monsieur.	28.6	0.25
Qu'est-ce	29.400000000000002	0.25
qu'un	29.700000000000003	0.25
géographe?	30.000000000000004	0.25
C'est	30.800000000000004	0.25
un	31.1	0.25
savant	31.400000000000002	0.25
qui	31.700000000000003	0.25
connaît	32.0	0.25
où	32.300000000000004	0.25
se	32.6	0.25
trouvent	32.900000000000006	0.25
les	33.2	0.25
mers,	33.5	0.25
les	33.800000000000004	0.25
fleuves,	34.10000000000001	0.25
les	34.400000000000006	0.25
villes,	34.7	0.25
les	35.0	0.25
montagnes	35.300000000000004	0.25
et	35.60000000000001	0.25
les	35.900000000000006	0.25
déserts.	36.2	0.25
Ça	37.0	0.25
c'est	37.300000000000004	0.25
